x,major,minor,rssi,txpower,est_dist,time,real_dist
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-70,-59,2.71,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-70,-59,2.71,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:26,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-76,-59,4.04,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-68,-59,2.37,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-70,-59,2.71,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:27,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:28,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-62,-59,1.59,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:29,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-63,-59,1.7,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-76,-59,4.04,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-76,-59,4.04,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:30,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-76,-59,4.04,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-70,-59,2.71,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-74,-59,3.53,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-75,-59,3.78,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-73,-59,3.31,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-66,-59,2.08,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-72,-59,3.09,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-64,-59,1.82,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-71,-59,2.9,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
c2:02:0b:00:04:e2,40001,30430,-65,-59,1.94,2021.11.16 14:31,0.75
