t_rssi,t_realdist
-61,1
-60,1
-64,1
-65,1
-64,1
-64,1
-67,1
-67,1
-63,1
-63,1
-59,1
-65,1
-64,1
-60,1
-67,1
-63,1
-60,1
-60,1
-61,1
-63,1
-63,1
-67,1
-63,1
-60,1
-60,1
-60,1
-64,1
-71,1
-69,1
-60,1
-64,1
-60,1
-67,1
-65,1
-61,1
-62,1
-61,1
-67,1
-66,1
-60,1
-67,1
-67,1
-65,1
-62,1
-64,1
-67,1
-66,1
-65,1
-73,1
-64,1
-61,1
-67,1
-64,1
-63,1
-61,1
-61,1
-64,1
-64,1
-60,1
-67,1
-63,1
-63,1
-64,1
-62,1
-63,1
-63,1
-63,1
-65,1
-65,1
-62,1
-68,1
-63,1
-60,1
-65,1
-60,1
-67,1
-67,1
-63,1
-60,1
-68,1
-63,1
-61,1
-62,1
-69,1
-67,1
-67,1
-64,1
-68,1
-63,1
-68,1
-67,1
-60,1
-68,1
-67,1
-67,1
-64,1
-65,1
-64,1
-68,1
-68,1
-68,1
-60,1
-62,1
-63,1
-62,1
-69,1
-67,1
-63,1
-67,1
-64,1
-64,1
-60,1
-69,1
-65,1
-67,1
-64,1
-64,1
-64,1
-62,1
-64,1
-61,1
-62,1
-67,1
-59,1
-69,1
-65,1
-60,1
-67,1
-64,1
-64,1
-60,1
-66,1
-65,1
-65,1
-64,1
-63,1
-61,1
-60,1
-68,1
-62,1
-59,1
-61,1
-67,1
-61,1
-61,1
-62,1
-61,1
-68,1
-64,1
-67,1
-68,1
-65,1
-65,1
-60,1
-60,1
-65,1
-62,1
-62,1
-61,1
-61,1
-61,1
-69,1
-60,1
-64,1
-60,1
-67,1
-63,1
-62,1
-64,1
-64,1
-60,1
-61,1
-60,1
-60,1
-64,1
-65,1
-61,1
-61,1
-67,1
-63,1
-61,1
-62,1
-60,1
-67,1
-67,1
-67,1
-62,1
-67,1
-64,1
-60,1
-66,1
-63,1
-63,1
-63,1
-64,1
-62,1
-62,1
-61,1
-67,1
-60,1
-66,1
-68,1
-61,1
-66,1
-63,1
-66,1
-67,1
-60,1
-68,1
-65,1
-60,1
-67,1
-67,1
-63,1
-64,1
-59,1
-61,1
-67,1
-65,1
-60,1
-61,1
-67,1
-67,1
-64,1
-64,1
-67,1
-66,1
-65,1
-62,1
-61,1
-64,1
-61,1
-66,1
-70,1
-65,1
-64,1
-61,1
-66,1
-66,1
-66,1
-60,1
-67,1
-63,1
-63,1
-62,1
-62,1
-62,1
-63,1
-67,1
-63,1
-60,1
-68,1
-68,1
-67,1
-64,1
-63,1
-63,1
-60,1
-67,1
-62,1
-68,1
-64,1
-60,1
-67,1
-63,1
-60,1
-65,1
-63,1
-61,1
-67,1
-64,1
-61,1
-65,1
-62,1
-60,1
-63,1
-61,1
-61,1
-61,1
-63,1
-61,1
-67,1
-63,1
-63,1
-65,1
-62,1
-63,1
-62,1
-63,1
-67,1
-67,1
-63,1
-63,1
-69,1
-63,1
-63,1
-68,1
-61,1
-60,1
-64,1
-67,1
-66,1
-63,1
-60,1
-67,1
-62,1
-60,1
-63,1
-61,1
-66,1
-65,1
-62,1
-65,1
-60,1
-67,1
-60,1
-61,1
-67,1
-62,1
-63,1
-62,1
-66,1
-67,1
-63,1
-60,1
-60,1
-63,1
-61,1
-61,1
-63,1
-63,1
-60,1
-67,1
-62,1
-68,1
-62,1
-67,1
-64,1
-61,1
-67,1
-68,1
-65,1
-64,1
-61,1
-60,1
-66,1
-67,1
-67,1
-63,1
-62,1
-60,1
-67,1
-63,1
-59,1
-60,1
-60,1
-64,1
-63,1
-60,1
-60,1
-67,1
-65,1
-61,1
-67,1
-68,1
-64,1
-60,1
-60,1
-67,1
-64,1
-60,1
-60,1
-68,1
-64,1
-61,1
-60,1
-67,1
-64,1
-63,1
-67,1
-61,1
-61,1
-63,1
-61,1
-61,1
-68,1
-68,1
-66,1
-67,1
-63,1
-63,1
-67,1
-67,1
-64,1
-65,1
-61,1
-59,1
-65,1
-66,1
-64,1
-64,1
-64,1
-68,1
-67,1
-61,1
-63,1
-66,1
-60,1
-64,1
-62,1
-69,1
-63,1
-64,1
-61,1
-61,1
-67,1
-64,1
-62,1
-69,1
-61,1
-67,1
-67,1
-67,1
-64,1
-61,1
-60,1
-67,1
-62,1
-61,1
-65,1
-61,1
-65,1
-61,1
-67,1
-63,1
-61,1
-67,1
-64,1
-62,1
-64,1
-67,1
-63,1
-59,1
-60,1
-68,1
-67,1
-64,1
-61,1
-65,1
-66,1
-66,1
-70,1
-64,1
-61,1
-63,1
-59,1
-68,1
-69,1
-66,1
-61,1
-67,1
-66,1
-60,1
-67,1
-64,1
-66,1
-62,1
-61,1
-67,1
-61,1
-67,1
-65,1
-64,1
-61,1
-60,1
-60,1
-67,1
-64,1
-64,1
-61,1
-66,1
-61,1
-64,1
-61,1
-60,1
-60,1
-60,1
-67,1
-68,1
-67,1
-61,1
-61,1
-68,1
-63,1
-66,1
-64,1
-64,1
-60,1
-68,1
-65,1
-59,1
-63,1
-64,1
-68,1
-64,1
-66,1
-63,1
-67,1
-64,1
-64,1
-61,1
-60,1
-64,1
-61,1
-62,1
-68,1
-64,1
-61,1
-61,1
-67,1
-60,1
-66,1
-61,1
-64,1
-64,1
-62,1
-64,1
-62,1
-68,1
-67,1
-68,1
-68,1
-66,1
-62,1
-65,1
-64,1
-60,1
-67,1
-63,1
-64,1
-64,1
-62,1
-69,1
-66,1
-69,1
-64,1
-67,1
-60,1
-67,1
-67,1
-65,1
-66,1
-60,1
-67,1
-68,1
-58,1
-65,1
-59,1
-69,1
-67,1
-66,1
-60,1
-66,1
-62,1
-67,1
-64,1
-64,1
-67,1
-67,1
-59,1
-69,1
-69,1
-64,1
-60,1
-67,1
-67,1
-66,1
-64,1
-60,1
-66,1
-63,1
-64,1
-60,1
-67,1
-69,1
-65,1
-67,1
-59,1
-67,1
-65,1
-65,1
-61,1
-64,1
-68,1
-66,1
-63,1
-60,1
-61,1
-68,1
-68,1
-64,1
-60,1
-60,1
-67,1
-67,1
-68,1
-66,1
-60,1
-61,1
-68,1
-62,1
-68,1
-66,1
-61,1
-65,1
-59,1
-67,1
-67,1
-65,1
-64,1
-60,1
-67,1
-64,1
-64,1
-62,1
-60,1
-60,1
-68,1
-71,1
-69,1
-62,1
-62,1
-60,1
-68,1
-66,1
-58,1
-65,1
-65,1
-67,1
-68,1
-60,1
-61,1
-67,1
-65,1
-66,1
-67,1
-67,1
-60,1
-66,1
-66,1
-66,1
-63,1
-68,1
-61,1
-65,1
-61,1
-62,1
-62,1
-61,1
-66,1
-61,1
-60,1
-66,1
-65,1
-60,1
-61,1
-62,1
-66,1
-67,1
-62,1
-66,1
-66,1
-64,1
-66,1
-64,1
-62,1
-60,1
-61,1
-66,1
-64,1
-66,1
-62,1
-65,1
-66,1
-66,1
-60,1
-61,1
-66,1
-66,1
-64,1
-60,1
-60,1
-68,1
-64,1
-63,1
-62,1
-66,1
-63,1
-61,1
-66,1
-66,1
-64,1
-65,1
-62,1
-67,1
-64,1
-66,1
-65,1
-64,1
-60,1
-62,1
-63,1
-62,1
-61,1
-66,1
-66,1
-67,1
-62,1
-65,1
-65,1
-61,1
-65,1
-62,1
-65,1
-61,1
-65,1
-64,1
-65,1
-63,1
-68,1
-61,1
-61,1
-62,1
-66,1
-64,1
-66,1
-64,1
-60,1
-62,1
-70,1
-61,1
-61,1
-64,1
-61,1
-67,1
-68,1
-66,1
-65,1
-62,1
-61,1
-66,1
-61,1
-66,1
-68,1
-68,1
-61,1
-67,1
-66,1
-67,1
-62,1
-62,1
-62,1
-67,1
-63,1
-61,1
-66,1
-64,1
-62,1
-64,1
-61,1
-67,1
-65,1
-60,1
-61,1
-67,1
-63,1
-67,1
-63,1
-63,1
-65,1
-61,1
-65,1
-65,1
-61,1
-61,1
-62,1
-68,1
-61,1
-61,1
-61,1
-66,1
-67,1
-61,1
-66,1
-65,1
-64,1
-62,1
-60,1
-67,1
-64,1
-61,1
-62,1
-64,1
-61,1
-61,1
-67,1
-66,1
-66,1
-65,1
-61,1
-64,1
-66,1
-66,1
-64,1
-69,1
-68,1
-64,1
-66,1
-64,1
-61,1
-66,1
-66,1
-67,1
-64,1
-60,1
-61,1
-67,1
-66,1
-64,1
-62,1
-68,1
-66,1
-65,1
-65,1
-64,1
-67,1
-65,1
-66,1
-62,1
-62,1
-63,1
-68,1
-66,1
-64,1
-61,1
-65,1
-65,1
-67,1
-65,1
-66,1
-66,1
-64,1
-61,1
-66,1
-66,1
-63,1
-62,1
-60,1
-66,1
-68,1
-64,1
-61,1
-66,1
-65,1
-65,1
-64,1
-61,1
-66,1
-60,1
-66,1
-66,1
-65,1
-64,1
-65,1
-67,1
-69,1
-63,1
-62,1
-62,1
-61,1
-67,1
-65,1
-60,1
-63,1
-68,1
-65,1
-66,1
-65,1
-65,1
-60,1
-61,1
-61,1
-66,1
-65,1
-60,1
-67,1
-66,1
-65,1
-61,1
-66,1
-66,1
-66,1
-62,1
-65,1
-61,1
-64,1
-60,1
-66,1
-66,1
-65,1
-64,1
-61,1
-67,1
-65,1
-64,1
-62,1
-68,1
-66,1
-61,1
-66,1
-62,1
-66,1
-66,1
-65,1
-60,1
-61,1
-65,1
-61,1
-69,1
-60,1
-66,1
-63,1
-64,1
-66,1
-66,1
-65,1
-62,1
-67,1
-60,1
-62,1
-66,1
-66,1
-62,1
-60,1
-64,1
-63,1
-66,1
-60,1
-64,1
-65,1
-66,1
-63,1
-70,1
-61,1
-65,1
-61,1
-66,1
-66,1
-67,1
-65,1
-61,1
-65,1
-64,1
-60,1
-67,1
-64,1
-59,1
-61,1
-61,1
-61,1
-61,1
-66,1
-66,1
-61,1
-65,1
-61,1
-61,1
-66,1
-66,1
-60,1
-62,1
-68,1
-67,1
-69,1
-61,1
-66,1
-65,1
-60,1
-60,1
-65,1
-61,1
-62,1
-66,1
-66,1
-65,1
-61,1
-60,1
-66,1
-65,1
-59,1
-61,1
-61,1
-61,1
-67,1
-65,1
-62,1
-66,1
-67,1
-65,1
-61,1
-62,1
-66,1
-65,1
-60,1
-66,1
-65,1
-61,1
-61,1
-68,1
-62,1
-67,1
-66,1
-65,1
-63,1
-60,1
-65,1
-65,1
-65,1
-60,1
-61,1
-66,1
-65,1
-60,1
-60,1
-65,1
-61,1
-66,1
-60,1
-60,1
-61,1
-67,1
-64,1
-61,1
-65,1
-60,1
-64,1
-60,1
-65,1
-65,1
-65,1
-64,1
-60,1
-66,1
-61,1
-65,1
-61,1
-62,1
-62,1
-67,1
-66,1
-60,1
-66,1
-66,1
-65,1
-61,1
-66,1
-65,1
-66,1
-66,1
-67,1
-66,1
-60,1
-64,1
-67,1
-67,1
-65,1
-60,1
-62,1
-66,1
-65,1
-61,1
-67,1
-61,1
-68,1
-61,1
-60,1
-61,1
-67,1
-66,1
-60,1
-67,1
-61,1
-64,1
-65,1
-60,1
-61,1
-65,1
-60,1
-62,1
-65,1
-65,1
-64,1
-61,1
-65,1
-60,1
-66,1
-61,1
-62,1
-61,1
-66,1
-65,1
-63,1
-60,1
-64,1
-60,1
-66,1
-67,1
-66,1
-66,1
-65,1
-60,1
-60,1
-68,1
-65,1
-64,1
-64,1
-66,1
-64,1
-64,1
-64,1
-62,1
-61,1
-66,1
-66,1
-65,1
-60,1
-61,1
-66,1
-65,1
-60,1
-66,1
-65,1
-64,1
-60,1
-61,1
-66,1
-66,1
-65,1
-60,1
-60,1
-66,1
-67,1
-64,1
-61,1
-60,1
-66,1
-61,1
-62,1
-66,1
-62,1
-68,1
-69,1
-66,1
-65,1
-67,1
-66,1
-66,1
-66,1
-60,1
-65,1
-63,1
-67,1
-67,1
-60,1
-67,1
-65,1
-60,1
-61,1
-66,1
-66,1
-65,1
-65,1
-61,1
-66,1
-66,1
-63,1
-67,1
-65,1
-67,1
-65,1
-65,1
-61,1
-67,1
-64,1
-64,1
-60,1
-66,1
-67,1
-66,1
-66,1
-63,1
-63,1
-69,1
-65,1
-60,1
-65,1
-60,1
-67,1
-64,1
-65,1
-62,1
-66,1
-66,1
-66,1
-65,1
-62,1
-61,1
-65,1
-61,1
-62,1
-68,1
-66,1
-67,1
-65,1
-67,1
-65,1
-64,1
-60,1
-61,1
-66,1
-67,1
-63,1
-61,1
-65,1
-61,1
-67,1
-64,1
-60,1
-62,1
-61,1
-67,1
-64,1
-68,1
-66,1
-67,1
-64,1
-65,1
-64,1
-60,1
-65,1
-68,1
-61,1
-66,1
-66,1
-65,1
-65,1
-65,1
-61,1
-68,1
-65,1
-61,1
-61,1
-67,1
-61,1
-61,1
-60,1
-61,1
-67,1
-66,1
-63,1
-62,1
-61,1
-66,1
-64,1
-61,1
-66,1
-68,1
-66,1
-65,1
-60,1
-62,1
-61,1
-66,1
-68,1
-62,1
-60,1
-66,1
-60,1
-67,1
-62,1
-67,1
-65,1
-60,1
-61,1
-67,1
-65,1
-60,1
-66,1
-67,1
-66,1
-65,1
-60,1
-69,1
-67,1
-67,1
-65,1
-63,1
-64,1
-60,1
-62,1
-66,1
-67,1
-65,1
-67,1
-66,1
-60,1
-63,1
-67,1
-62,1
-63,1
-61,1
-68,1
-66,1
-61,1
-60,1
-61,1
-67,1
-66,1
-60,1
-60,1
-65,1
-60,1
-67,1
-67,1
-61,1
-61,1
-60,1
-64,1
-62,1
-65,1
-61,1
-61,1
-59,1
-67,1
-65,1
-67,1
-66,1
-66,1
-67,1
-67,1
-65,1
-65,1
-62,1
-66,1
-62,1
-69,1
-60,1
-67,1
-65,1
-60,1
-62,1
-67,1
-67,1
-66,1
-60,1
-62,1
-67,1
-65,1
-61,1
-67,1
-65,1
-62,1
-69,1
-64,1
-68,1
-64,1
-62,1
-67,1
-64,1
-64,1
-60,1
-67,1
-68,1
-69,1
-64,1
-60,1
-67,1
-65,1
-64,1
-66,1
-60,1
-60,1
-68,1
-62,1
-67,1
-68,1
-65,1
-61,1
-67,1
-65,1
-60,1
-69,1
-60,1
-65,1
-66,1
-63,1
-66,1
-65,1
-61,1
-67,1
-66,1
-67,1
-60,1
-60,1
-67,1
-65,1
-65,1
-62,1
-63,1
-66,1
-67,1
-67,1
-65,1
-67,1
-65,1
-67,1
-65,1
-64,1
-60,1
-62,1
-60,1
-67,1
-65,1
-61,1
-60,1
-61,1
-66,1
-66,1
-65,1
-60,1
-65,1
-62,1
-62,1
-62,1
-67,1
-65,1
-65,1
-65,1
-67,1
-62,1
-69,1
-65,1
-62,1
-60,1
-65,1
-65,1
-61,1
-67,1
-67,1
-66,1
-60,1
-61,1
-64,1
-66,1
-65,1
-61,1
-66,1
-65,1
-65,1
-63,1
-61,1
-66,1
-62,1
-60,1
-68,1
-65,1
-69,1
-69,1
-62,1
-62,1
-68,1
-67,1
-62,1
-68,1
-62,1
-66,1
-66,1
-65,1
-64,1
-62,1
-62,1
-68,1
-65,1
-64,1
-61,1
-66,1
-66,1
-62,1
-66,1
-68,1
-64,1
-62,1
-66,1
-66,1
-65,1
-61,1
-67,1
-66,1
-62,1
-63,1
-63,1
-65,1
-67,1
-66,1
-65,1
-62,1
-68,1
-67,1
-60,1
-64,1
-64,1
-67,1
-65,1
-62,1
-61,1
-67,1
-64,1
-64,1
-63,1
-65,1
-61,1
-60,1
-66,1
-64,1
-61,1
-68,1
-68,1
-68,1
-65,1
-61,1
-66,1
-66,1
-64,1
-64,1
-62,1
-66,1
-63,1
-63,1
-62,1
-67,1
-67,1
-64,1
-67,1
-65,1
-61,1
-62,1
-62,1
-62,1
-61,1
-67,1
-61,1
-61,1
-66,1
-61,1
-66,1
-66,1
-64,1
-65,1
-60,1
-62,1
-61,1
-60,1
-67,1
-61,1
-66,1
-66,1
-66,1
-64,1
-65,1
-61,1
-66,1
-66,1
-66,1
-64,1
-62,1
-67,1
-65,1
-61,1
-66,1
-65,1
-62,1
-65,1
-67,1
-61,1
-61,1
-61,1
-66,1
-62,1
-67,1
-66,1
-65,1
-65,1
-60,1
-65,1
-62,1
-66,1
-66,1
-67,1
-65,1
-60,1
-62,1
-61,1
-67,1
-67,1
-66,1
-62,1
-63,1
-65,1
-64,1
-60,1
-66,1
-65,1
-60,1
-65,1
-64,1
-65,1
-66,1
-67,1
-67,1
-66,1
-64,1
-64,1
-66,1
-61,1
-66,1
-64,1
-64,1
-61,1
-64,1
-64,1
-65,1
-67,1
-64,1
-61,1
-60,1
-62,1
-67,1
-63,1
-61,1
-62,1
-68,1
-65,1
-66,1
-60,1
-67,1
-66,1
-64,1
-63,1
-66,1
-66,1
-66,1
-64,1
-60,1
-68,1
-62,1
-66,1
-64,1
-64,1
-62,1
-60,1
-64,1
-66,1
-65,1
-60,1
-60,1
-64,1
-61,1
-67,1
-64,1
-64,1
-61,1
-67,1
-65,1
-65,1
-62,1
-63,1
-67,1
-64,1
-62,1
-67,1
-65,1
-66,1
-60,1
-64,1
-60,1
-62,1
-67,1
-64,1
-61,1
-66,1
-64,1
-61,1
-66,1
-59,1
-61,1
-61,1
-66,1
-65,1
-65,1
-64,1
-61,1
-66,1
-64,1
-60,1
-67,1
-65,1
-60,1
-61,1
-66,1
-66,1
-65,1
-64,1
-66,1
-65,1
-60,1
-66,1
-66,1
-60,1
-65,1
-65,1
-66,1
-66,1
-60,1
-66,1
-60,1
-60,1
-64,1
-66,1
-63,1
-65,1
-65,1
-65,1
-64,1
-67,1
-68,1
-67,1
-61,1
-61,1
-61,1
-66,1
-62,1
-61,1
-65,1
-65,1
-60,1
-66,1
-66,1
-65,1
-61,1
-67,1
-67,1
-61,1
-61,1
-65,1
-65,1
-64,1
-60,1
-65,1
-68,1
-66,1
-66,1
-61,1
-66,1
-65,1
-66,1
-61,1
-66,1
-66,1
-65,1
-62,1
-67,1
-65,1
-66,1
-62,1
-60,1
-66,1
-69,1
-68,1
-62,1
-68,1
-66,1
-65,1
-65,1
-68,1
-67,1
-65,1
-60,1
-66,1
-65,1
-62,1
-62,1
-73,1
-68,1
-66,1
-64,1
-65,1
-65,1
-61,1
-63,1
-67,1
-60,1
-66,1
-62,1
-67,1
-66,1
-65,1
-60,1
-67,1
-67,1
-61,1
-68,1
-68,1
-67,1
-60,1
-67,1
-68,1
-65,1
-67,1
-67,1
-63,1
-62,1
-66,1
-65,1
-59,1
-60,1
-67,1
-67,1
-65,1
-61,1
-66,1
-62,1
-68,1
-66,1
-61,1
-61,1
-61,1
-60,1
-68,1
-69,1
-67,1
-61,1
-66,1
-65,1
-65,1
-60,1
-66,1
-66,1
-62,1
-68,1
-60,1
-69,1
-67,1
-69,1
-67,1
-61,1
-61,1
-60,1
-67,1
-64,1
-67,1
-65,1
-61,1
-60,1
-60,1
-61,1
-66,1
-66,1
-66,1
-67,1
-65,1
-60,1
-65,1
-62,1
-65,1
-60,1
-66,1
-65,1
-65,1
-66,1
-62,1
-67,1
-67,1
-65,1
-61,1
-65,1
-61,1
-68,1
-66,1
-65,1
-61,1
-66,1
-62,1
-68,1
-67,1
-66,1
-60,1
-67,1
-67,1
-65,1
-60,1
-66,1
-66,1
-66,1
-62,1
-68,1
-63,1
-61,1
-67,1
-67,1
-60,1
-66,1
-66,1
-68,1
-65,1
-64,1
-62,1
-60,1
-62,1
-62,1
-66,1
-65,1
-65,1
-60,1
-67,1
-67,1
-64,1
-62,1
-66,1
-67,1
-63,1
-66,1
-60,1
-65,1
-64,1
-60,1
-60,1
-66,1
-64,1
-64,1
-62,1
-63,1
-65,1
-66,1
-64,1
-60,1
-68,1
-65,1
-60,1
-61,1
-65,1
-65,1
-61,1
-68,1
-66,1
-62,1
-68,1
-65,1
-60,1
-60,1
-64,1
-69,1
-66,1
-65,1
-60,1
-67,1
-65,1
-60,1
-61,1
-67,1
-68,1
-66,1
-63,1
-68,1
-66,1
-63,1
-66,1
-61,1
-68,1
-65,1
-63,1
-61,1
-60,1
-60,1
-66,1
-69,1
-66,1
-60,1
-66,1
-65,1
-60,1
-61,1
-61,1
-67,1
-65,1
-61,1
-65,1
-65,1
-65,1
-65,1
-66,1
-65,1
-65,1
-61,1
-60,1
-66,1
-67,1
-61,1
-67,1
-65,1
-65,1
-65,1
-62,1
-63,1
-69,1
-65,1
-60,1
-60,1
-62,1
-67,1
-65,1
-65,1
-65,1
-60,1
-61,1
-67,1
-65,1
-60,1
-66,1
-65,1
-67,1
-61,1
-61,1
-61,1
-67,1
-60,1
-60,1
-61,1
-60,1
-66,1
-66,1
-65,1
-63,1
-65,1
-61,1
-62,1
-68,1
-65,1
-60,1
-66,1
-60,1
-66,1
-67,1
-63,1
-60,1
-67,1
-68,1
-66,1
-65,1
-60,1
-67,1
-66,1
-62,1
-65,1
-65,1
-64,1
-60,1
-67,1
-64,1
-65,1
-65,1
-65,1
-61,1
-67,1
-61,1
-64,1
-60,1
-67,1
-64,1
-65,1
-62,1
-65,1
-60,1
-65,1
-60,1
-68,1
-66,1
-66,1
-62,1
-61,1
-62,1
-65,1
-64,1
-60,1
-61,1
-69,1
-65,1
-67,1
-65,1
-68,1
-63,1
-62,1
-66,1
-66,1
-66,1
-67,1
-67,1
-68,1
-66,1
-67,1
-68,1
-61,1
-68,1
-68,1
-66,1
-67,1
-64,1
-62,1
-62,1
-66,1
-65,1
-62,1
-68,1
-64,1
-64,1
-65,1
-62,1
-67,1
-65,1
-65,1
-61,1
-69,1
-67,1
-64,1
-64,1
-62,1
-63,1
-66,1
-64,1
-61,1
-61,1
-61,1
-66,1
-64,1
-61,1
-66,1
-62,1
-61,1
-66,1
-61,1
-67,1
-64,1
-65,1
-66,1
-67,1
-61,1
-67,1
-64,1
-61,1
-69,1
-62,1
-67,1
-65,1
-62,1
-63,1
-67,1
-64,1
-63,1
-61,1
-62,1
-62,1
-67,1
-64,1
-61,1
-65,1
-67,1
-67,1
-62,1
-63,1
-67,1
-64,1
-61,1
-61,1
-62,1
-68,1
-66,1
-61,1
-62,1
-68,1
-65,1
-60,1
-66,1
-65,1
-60,1
-66,1
-62,1
-61,1
-67,1
-67,1
-66,1
-65,1
-68,1
-65,1
-63,1
-62,1
-61,1
-66,1
-64,1
-61,1
-61,1
-67,1
-65,1
-60,1
-61,1
-66,1
-67,1
-65,1
-62,1
-65,1
-65,1
-64,1
-61,1
-67,1
-67,1
-69,1
-66,1
-61,1
-64,1
-64,1
-62,1
-63,1
-67,1
-64,1
-62,1
-62,1
-61,1
-64,1
-64,1
-64,1
-61,1
-63,1
-68,1
-68,1
-64,1
-60,1
-67,1
-65,1
-61,1
-61,1
-69,1
-65,1
-66,1
-67,1
-68,1
-64,1
-64,1
-64,1
-62,1
-60,1
-61,1
-64,1
-64,1
-61,1
-68,1
-62,1
-64,1
-62,1
-62,1
-60,1
-68,1
-67,1
-61,1
-60,1
-66,1
-66,1
-62,1
-61,1
-67,1
-68,1
-64,1
-64,1
-61,1
-64,1
-60,1
-66,1
-66,1
-61,1
-61,1
-66,1
-64,1
-62,1
-64,1
-64,1
-59,1
-66,1
-66,1
-64,1
-62,1
-67,1
-65,1
-64,1
-59,1
-64,1
-67,1
-66,1
-63,1
-68,1
-62,1
-68,1
-65,1
-62,1
-63,1
-67,1
-64,1
-66,1
-61,1
-60,1
-65,1
-61,1
-67,1
-65,1
-61,1
-61,1
-67,1
-64,1
-61,1
-67,1
-61,1
-62,1
-69,1
-60,1
-60,1
-64,1
-60,1
-63,1
-61,1
-67,1
-61,1
-66,1
-64,1
-61,1
-64,1
-68,1
-66,1
-60,1
-68,1
-64,1
-61,1
-64,1
-68,1
-64,1
-64,1
-63,1
-64,1
-60,1
-69,1
-69,1
-66,1
-64,1
-61,1
-60,1
-67,1
-66,1
-66,1
-69,1
-66,1
-64,1
-60,1
-65,1
-60,1
-60,1
-66,1
-64,1
-64,1
-66,1
-68,1
-61,1
-64,1
-63,1
-62,1
-59,1
-60,1
-66,1
-64,1
-64,1
-61,1
-61,1
-67,1
-67,1
-61,1
-68,1
-64,1
-65,1
-61,1
-64,1
-61,1
-67,1
-64,1
-60,1
-60,1
-61,1
-61,1
-67,1
-67,1
-64,1
-64,1
-61,1
-64,1
-62,1
-64,1
-65,1
-67,1
-60,1
-61,1
-66,1
-61,1
-64,1
-59,1
-68,1
-65,1
-65,1
-61,1
-64,1
-60,1
-66,1
-67,1
-64,1
-65,1
-61,1
-60,1
-65,1
-67,1
-62,1
-61,1
-60,1
-66,1
-67,1
-65,1
-65,1
-61,1
-66,1
-66,1
-60,1
-66,1
-60,1
-59,1
-66,1
-66,1
-60,1
-67,1
-67,1
-64,1
-59,1
-66,1
-65,1
-66,1
-66,1
-61,1
-65,1
-60,1
-67,1
-64,1
-60,1
-60,1
-61,1
-66,1
-64,1
-61,1
-69,1
-64,1
-62,1
-62,1
-64,1
-64,1
-61,1
-61,1
-66,1
-64,1
-61,1
-68,1
-59,1
-67,1
-61,1
-66,1
-65,1
-64,1
-65,1
-60,1
-67,1
-64,1
-60,1
-68,1
-66,1
-60,1
-65,1
-66,1
-64,1
-64,1
-67,1
-62,1
-64,1
-66,1
-65,1
-64,1
-60,1
-60,1
-61,1
-66,1
-61,1
-62,1
-64,1
-60,1
-66,1
-65,1
-64,1
-62,1
-65,1
-59,1
-61,1
-66,1
-64,1
-61,1
-66,1
-65,1
-65,1
-63,1
-68,1
-67,1
-66,1
-66,1
-60,1
-61,1
-66,1
-65,1
-61,1
-63,1
-62,1
-68,1
-68,1
-65,1
-60,1
-66,1
-66,1
-66,1
-60,1
-65,1
-63,1
-65,1
-64,1
-62,1
-65,1
-59,1
-65,1
-64,1
-65,1
-62,1
-67,1
-64,1
-65,1
-61,1
-65,1
-64,1
-61,1
-67,1
-66,1
-66,1
-65,1
-65,1
-61,1
-60,1
-66,1
-65,1
-63,1
-68,1
-64,1
-64,1
-60,1
-66,1
-67,1
-66,1
-60,1
-60,1
-66,1
-66,1
-60,1
-66,1
-65,1
-62,1
-66,1
-65,1
-61,1
-65,1
-65,1
-60,1
-61,1
-67,1
-68,1
-66,1
-59,1
-65,1
-66,1
-64,1
-65,1
-61,1
-60,1
-61,1
-65,1
-66,1
-61,1
-66,1
-65,1
-60,1
-59,1
-60,1
-68,1
-67,1
-67,1
-65,1
-65,1
-66,1
-64,1
-65,1
-65,1
-61,1
-65,1
-66,1
-66,1
-63,1
-61,1
-60,1
-58,1
-60,1
-65,1
-64,1
-64,1
-60,1
-66,1
-68,1
-66,1
-61,1
-66,1
-61,1
-62,1
-65,1
-65,1
-65,1
-61,1
-67,1
-64,1
-60,1
-66,1
-66,1
-67,1
-65,1
-61,1
-60,1
-62,1
-67,1
-65,1
-65,1
-64,1
-60,1
-59,1
-65,1
-60,1
-66,1
-61,1
-63,1
-65,1
-65,1
-65,1
-65,1
-65,1
-61,1
-60,1
-67,1
-66,1
-62,1
-64,1
-65,1
-61,1
-65,1
-62,1
-67,1
-66,1
-63,1
-60,1
-68,1
-66,1
-60,1
-66,1
-64,1
-65,1
-63,1
-63,1
-62,1
-66,1
-65,1
-65,1
-61,1
-65,1
-64,1
-60,1
-60,1
-62,1
-67,1
-67,1
-66,1
-60,1
-65,1
-65,1
-60,1
-65,1
-65,1
-60,1
-66,1
-64,1
-61,1
-61,1
-66,1
-65,1
-62,1
-65,1
-60,1
-65,1
-65,1
-64,1
-66,1
-61,1
-65,1
-65,1
-67,1
-63,1
-61,1
-60,1
-65,1
-63,1
-65,1
-59,1
-60,1
-66,1
-60,1
-65,1
-66,1
-65,1
-62,1
-59,1
-65,1
-65,1
-66,1
-66,1
-66,1
-61,1
-67,1
-66,1
-60,1
-60,1
-65,1
-65,1
-65,1
-65,1
-65,1
-60,1
-60,1
-65,1
-66,1
-65,1
-60,1
-63,1
-62,1
-65,1
-65,1
-60,1
-65,1
-59,1
-65,1
-68,1
-66,1
-60,1
-65,1
-65,1
-65,1
-67,1
-61,1
-65,1
-60,1
-60,1
-67,1
